,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
1533,SWANK INC,SNKI,44.06399999999999,50.683,77.979,0.0,0.3929999999999999,4.042,4.435,36.819,23.744,14.667,1.778,28.763,16.324,114.798,17.000999999999998,21.099,114.798,110.363
1534,SWANK INC,SNKI,49.933,56.088,89.80799999999999,0.0,0.353,8.0,8.353,42.894,22.621,15.813,4.174,32.734,20.214,132.702,18.5757,22.397,132.702,124.349
1535,SWANK INC,SNKI,51.862,57.642,91.788,0.0,0.37,10.139,10.509,46.832,25.014,12.936,5.938,38.461,23.275,138.62,19.439,18.266,138.62,128.111
2874,SWIFT TRANSPORTATION CO INC,SWFT.1,465.565,2030.158,2461.826,366.787,179.808,184.567,364.375,364.375,12.989,536.47,103.482,765.7769999999999,335.556,2826.201,1544.369,1291.889,2826.201,2461.826
2875,SWIFT TRANSPORTATION CO INC,SWFT.1,454.114,2218.53,2791.786,364.0,199.777,205.892,405.669,405.669,12.948,547.716,101.127,866.8589999999999,335.463,3197.455,1494.892,1348.486,3197.455,2791.786
2876,SWIFT TRANSPORTATION CO INC,SWFT.1,486.856,2110.648,2689.226,200.0,222.376,261.188,483.564,483.564,11.621,483.57,141.055,992.343,310.44,3172.79,1972.588,1096.425,3172.79,2689.226
8544,SWITCH & DATA FACILITIES CO,SDXC,56.092,232.69,70.686,56.488,25.584,9.908,35.492,66.844,0.0,35.475,-0.7859999999999999,-215.453,9.029,137.53,549.6782,107.635,137.53,102.038
8545,SWITCH & DATA FACILITIES CO,SDXC,28.632,358.865,90.122,170.92700000000002,30.716,13.358,44.074,81.403,0.0,46.196000000000005,-7.035,-226.991,11.497,171.525,255.4206,237.944,171.525,127.451
8546,SWITCH & DATA FACILITIES CO,SDXC,45.307,400.38,103.128,186.614,41.478,21.144,62.622,102.31,0.0,52.826,0.408,-223.799,13.93,205.438,702.0348,267.552,205.438,142.816
7209,SWITCHBOARD INC,SWBD,43.647,65.835,7.05,0.518,1.235,-30.448,-29.213,6.276,0.0,8.65,-66.75399999999999,-103.863,2.258,13.326,59.3613,9.168,13.326,42.539
7210,SWITCHBOARD INC,SWBD,45.667,57.788,2.2230000000000003,1.124,1.521,-6.183,-4.662,9.524,0.0,5.577000000000001,-3.959,-108.589,1.7180000000000002,11.747,56.3346,6.7010000000000005,11.747,16.409000000000002
7211,SWITCHBOARD INC,SWBD,56.258,59.523,1.712,0.0,1.213,1.405,2.6180000000000003,13.48,0.0,3.181,2.074,-106.62,1.503,15.192,132.5131,3.181,15.192,12.574000000000002
7647,SYBRON DENTAL SPECIALTIES,SYD.1,227.192,611.659,224.266,274.008,12.61,111.97,124.58,302.125,84.23899999999999,94.496,57.452,132.668,103.565,526.391,959.805,403.674,526.391,401.811
7648,SYBRON DENTAL SPECIALTIES,SYD.1,254.707,646.558,242.83,219.58900000000003,14.593,114.349,128.942,331.146,93.689,93.292,62.112,204.562,104.148,573.976,1167.0248,347.786,573.976,445.034
7649,SYBRON DENTAL SPECIALTIES,SYD.1,283.961,750.418,268.686,211.099,17.639,129.055,146.694,380.98,92.84,92.494,76.685,283.301,112.5,649.6659999999999,1679.6241,348.265,649.6659999999999,502.972
2934,SYLVAN INC,SYLN,33.967,107.09,49.818000000000005,37.255,5.375,10.991,16.366,36.093,10.119,10.745,5.829,46.96,13.133,85.911,61.0875,54.524,85.911,69.545
2935,SYLVAN INC,SYLN,34.437,106.806,52.109,38.162,5.642,9.06,14.702,36.083,11.425,9.847,4.669,46.64,14.399,88.19200000000001,52.8493,57.803,88.19200000000001,73.49
2936,SYLVAN INC,SYLN,37.6,113.865,59.467,33.548,6.178999999999999,5.682,11.861,35.521,12.514,10.661,2.839,56.161,15.901,94.988,63.0972,54.647,94.988,83.12700000000001
7920,SYMBION INC,SMBI,65.483,365.761,141.765,69.747,10.927,41.195,52.122,74.56,6.068,24.028,13.552,34.278,28.893,216.325,464.4086,104.125,216.325,164.203
7921,SYMBION INC,SMBI,76.495,436.378,166.61,101.969,13.277,59.649,72.926,99.134,7.572,27.711,19.055,53.654,32.486999999999995,265.744,493.212,147.525,265.744,192.818
7922,SYMBION INC,SMBI,86.905,503.806,196.803,136.553,13.42,62.39,75.81,104.731,8.453,30.262,18.793,72.611,37.111,301.534,400.6119,185.759,301.534,225.724
