,company_name,tic,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses
1950,SOUTHWEST WATER CO,SWWC,47.746,444.725,141.66,117.603,12.6,18.134,30.734,61.521,1.259,40.579,2.399,22.202,35.553000000000004,203.181,317.4674,299.472,203.181,172.447
1951,SOUTHWEST WATER CO,SWWC,48.257,491.693,152.89700000000002,128.624,13.8,24.012,37.812,71.285,1.3869999999999998,35.83,9.399,27.103,29.417,224.182,327.5155,325.166,224.182,186.37
1952,SOUTHWEST WATER CO,SWWC,61.585,516.409,145.149,145.35299999999998,14.8,21.374,36.174,72.19800000000001,1.337,46.184,-8.046,13.421,27.019,217.347,303.8354,357.215,217.347,181.173
1953,SOUTHWEST WATER CO,SWWC,57.711000000000006,527.207,209.393,190.578,15.422,-3.965,11.457,11.457,1.274,46.722,-31.917,-34.681999999999995,29.842,220.85,80.1683,413.407,220.85,209.393
1954,SOUTHWEST WATER CO,SWWC,42.751000000000005,400.095,187.404,152.82,14.857,8.832,23.689,23.689,1.248,37.514,4.067,-33.2,30.251,211.093,146.5844,284.181,211.093,187.404
5755,SPECIALIZED HEALTH PRODUCTS,3SHPI,3.5,4.09,0.4479999999999999,0.0,0.135,-3.214,-3.079,3.159,0.1989999999999999,1.994,-3.119,-36.809,0.728,3.607,16.9395,3.018,3.607,6.686
5756,SPECIALIZED HEALTH PRODUCTS,3SHPI,3.234,4.058,0.995,0.0,0.087,-0.353,-0.266,4.77,0.287,1.803,-0.344,-37.153,1.229,5.765,48.9038,1.892,5.765,6.031000000000001
5757,SPECIALIZED HEALTH PRODUCTS,3SHPI,2.962,4.638999999999999,1.957,0.5,0.124,-1.616,-1.492,5.025,0.618,2.1630000000000003,-2.759,-39.911,1.579,6.982,19.1905,3.88,6.982,8.474
5758,SPECIALIZED HEALTH PRODUCTS,3SHPI,11.635,16.624000000000002,4.368,0.0,0.432,0.353,0.785,8.901,2.028,4.162,0.385,-39.446,2.681,13.269,48.4596,4.334,13.269,12.484000000000002
5759,SPECIALIZED HEALTH PRODUCTS,3SHPI,14.904000000000002,19.95,5.5760000000000005,0.0,0.6890000000000001,2.757,3.446,13.348,2.9160000000000004,3.6,2.724,-36.722,3.0,18.924,59.4437,3.6,18.924,15.478
9350,SPECIALTY LABORATORIES INC,SP.4,115.737,142.005,80.905,0.0,5.9510000000000005,16.039,21.99,72.34,1.6230000000000002,26.948,8.673,24.103,32.775,153.245,693.5713,30.208,153.245,131.255
