cik,fyear,company_name,tic,status_label,current_assets,total_assets,cost_of_goods_sold,total_long_term_debt,depreciation_and_amortization,ebit,ebitda,gross_profit,inventory,total_current_liabilities,net_income,retained_earnings,total_receivables,total_revenue,market_value,total_liabilities,net_sales,total_operating_expenses,status
61478,2006.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,942.7,1611.4,801.1,400.0,67.8,72.6,140.4,480.8,165.5,260.1,65.7,-567.4,193.1,1281.9,1677.132,737.9,1281.9,1141.5,0
61478,2007.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,1008.2,1764.8,827.5,200.6,67.2,100.7,167.9,494.7,170.2,474.1,106.3,-448.2,223.7,1322.2,2199.12,757.2,1322.2,1154.3,0
61478,2008.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,1077.4,1921.0,870.7,650.7,82.4,90.9,173.3,585.7,162.7,278.0,-41.9,-505.6,240.6,1456.4,705.6419999999999,1006.8,1456.4,1283.1,0
61478,2009.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,900.2,1343.6,600.5,651.0,66.4,18.3,84.7,396.2,131.1,236.0,-474.3,-979.3,200.3,996.7,805.6439999999999,987.4,996.7,912.0,0
61478,2010.0,ADC TELECOMMUNICATIONS INC,ADCT,alive,1107.7,1474.5,677.2,650.8,61.5,59.9,121.4,479.4,106.4,288.7,62.0,-918.4,252.5,1156.6,1231.524,1040.1,1156.6,1035.2,0
730469,2003.0,ALPHARMA INC  -CL A,ALO.2,alive,692.9910000000001,2329.268,729.995,782.2489999999999,49.681,105.547,155.22799999999998,567.29,309.277,358.271,13.833,72.5,258.471,1297.285,1045.8834,1197.279,1297.285,1142.057,0
730469,2004.0,ALPHARMA INC  -CL A,ALO.2,alive,672.072,2003.842,719.2260000000001,10.0,87.21600000000001,66.613,153.829,620.254,310.004,1040.406,-314.737,-185.823,226.591,1339.48,895.299,1120.2,1339.48,1185.651,0
730469,2005.0,ALPHARMA INC  -CL A,ALO.2,alive,1037.047,1623.3829999999998,150.257,0.017,67.10600000000001,95.995,163.101,403.36,92.741,665.257,133.769,-175.285,90.898,553.617,1541.7638,705.305,553.617,390.516,0
730469,2006.0,ALPHARMA INC  -CL A,ALO.2,alive,353.541,927.239,229.115,0.0,42.873000000000005,96.041,138.914,424.713,106.958,155.57299999999998,82.544,-89.73700000000001,107.847,653.828,1038.6859,203.24,653.828,514.914,0
730469,2007.0,ALPHARMA INC  -CL A,ALO.2,alive,581.502,1288.165,267.81,300.0,46.338,-5.522,40.816,454.615,125.963,198.375,-13.581,-95.949,130.246,722.425,882.4491,557.038,722.425,681.6089999999999,0
6201,2006.0,AMERICAN AIRLINES GROUP INC,AAL,failed,6902.0,29145.0,17659.0,12041.0,1157.0,1060.0,2217.0,4904.0,506.0,8505.0,231.0,-3185.0,988.0,22563.0,6717.8315,29751.0,22563.0,20346.0,1
6201,2007.0,AMERICAN AIRLINES GROUP INC,AAL,failed,7229.0,28571.0,18026.0,10093.0,1064.0,1029.0,2093.0,4870.0,601.0,8483.0,504.0,-720.0,1027.0,22896.0,3499.0539,25914.0,22896.0,20803.0,1
6201,2008.0,AMERICAN AIRLINES GROUP INC,AAL,failed,5935.0,25175.0,20232.0,9001.0,1083.0,-573.0,510.0,3534.0,525.0,9374.0,-2071.0,-6638.0,811.0,23766.0,2976.3858,28110.0,23766.0,23256.0,1
6201,2009.0,AMERICAN AIRLINES GROUP INC,AAL,failed,6642.0,25438.0,16935.0,10583.0,1007.0,-745.0,262.0,2982.0,557.0,7728.0,-1468.0,-7860.0,768.0,19917.0,2571.1835,28927.0,19917.0,19655.0,1
